ID;Sex;Age;State;Account length;Phone number;Plans;Number vmail messages;Total day minutes;Total day calls;Total day charge;Total eve minutes;Total eve calls;Total eve charge;Total night minutes;Total night calls;Total night charge;Total intl minutes;Total intl calls;Total intl charge;Total charge;Customer service calls;Churn
10001;Female;35.0;MN;150;415 695 24 37;Voice mail;28;174.4;75.0;29.65;169.9;80.0;14.44;201.6;130.0;9.07;11.0;4.0;2.97;56.13;1;0
10010;Female;43.0;AR;87;408 673 99 45;None;0;185.8;119.0;31.59;192.3;83.0;16.35;200.0;96.0;9.0;6.6;4.0;1.78;58.72;1;0
10029;Female;39.0;ND;180;415 693 30 62;None;0;224.9;105.0;38.23;250.0;101.0;21.25;216.1;73.0;9.72;6.7;5.0;1.81;71.01;3;1
10030;Female;36.0;AL;200;408 248 27 61;None;0;128.2;87.0;21.79;133.2;105.0;11.32;177.6;123.0;7.99;11.2;2.0;3.02;44.12;1;0
10122;Male;37.0;DE;122;510 297 57 75;None;0;157.1;134.0;26.71;184.9;122.0;15.72;197.2;59.0;8.87;8.5;5.0;2.3;53.6;4;1
10224;Male;37.0;NE;44;415 246 36 36;None;0;240.3;146.0;40.85;164.6;83.0;13.99;240.7;106.0;10.83;10.6;2.0;2.86;68.53;1;0
10243;Male;33.0;GA;112;415 942 59 82;Voice mail;22;181.8;110.0;30.91;228.1;123.0;19.39;262.7;141.0;11.82;9.2;4.0;2.48;64.6;2;0
10264;Male;26.0;NC;26;415 590 46 78;None;0;234.5;109.0;39.87;216.5;129.0;18.4;191.6;94.0;8.62;3.5;6.0;0.95;67.84;3;0
10327;Female;33.0;DC;76;415 476 36 34;None;0;224.4;121.0;38.15;147.9;97.0;12.57;183.8;74.0;8.27;6.7;2.0;1.81;60.8;2;0
10449;Female;29.0;IA;81;510 907 61 26;None;0;261.4;141.0;44.44;215.7;102.0;18.33;271.8;96.0;12.23;8.0;6.0;2.16;77.16;1;1
10452;Female;34.0;MN;123;408 322 80 35;None;0;236.2;135.0;40.15;273.9;88.0;23.28;227.0;77.0;10.22;10.1;6.0;2.73;76.38;2;1
10481;Male;42.0;MS;98;415 444 34 24;International, Voice mail;23;245.5;54.0;41.74;292.7;83.0;24.88;184.0;90.0;8.28;10.8;7.0;2.92;77.82;1;0
10496;Male;;NH;95;408 219 66 97;International;0;228.9;134.0;38.91;255.7;71.0;21.73;208.0;120.0;9.36;10.1;2.0;2.73;72.73;4;1
10501;Male;29.0;NY;137;510 399 98 62;None;0;109.8;120.0;18.67;230.5;86.0;19.59;255.8;103.0;11.51;11.9;6.0;3.21;52.98;1;0
10504;Male;;DE;99;415 106 68 56;None;0;254.4;120.0;43.25;159.3;92.0;13.54;264.4;94.0;11.9;6.0;5.0;1.62;70.31;1;0
10507;Male;32.0;AZ;109;415 713 60 24;International;0;268.4;85.0;45.63;150.6;131.0;12.8;297.9;84.0;13.41;9.7;8.0;2.62;74.46;2;1
10508;Female;34.0;UT;96;415 741 11 11;None;0;160.2;117.0;27.23;267.5;67.0;22.74;228.5;68.0;10.28;9.3;5.0;2.51;62.76;2;0
10515;Male;27.0;IN;108;510 763 21 86;None;0;293.0;88.0;49.81;160.6;101.0;13.65;143.9;87.0;6.48;10.0;6.0;2.7;72.64;2;0
10574;Male;;WI;133;510 135 43 19;None;0;187.0;65.0;31.79;141.4;128.0;12.02;238.2;108.0;10.72;10.0;8.0;2.7;57.23;2;0
10596;Male;32.0;OK;52;408 102 77 76;None;0;214.7;68.0;36.5;158.6;138.0;13.48;123.4;114.0;5.55;9.4;4.0;2.54;58.07;2;0
10617;Female;;UT;37;510 894 14 51;None;0;271.7;112.0;46.19;155.1;96.0;13.18;199.5;97.0;8.98;6.6;4.0;1.78;70.13;3;0
10716;Male;;WV;54;510 717 34 14;Voice mail;33;112.0;90.0;19.04;208.0;112.0;17.68;150.3;83.0;6.76;11.3;4.0;3.05;46.53;2;0
10725;Male;;GA;98;408 763 94 52;None;0;169.9;77.0;28.88;138.3;155.0;11.76;142.6;105.0;6.42;8.5;7.0;2.3;49.36;1;0
10743;Female;40.0;OR;98;415 618 37 46;International;0;12.5;67.0;2.13;256.6;90.0;21.81;169.4;88.0;7.62;7.7;9.0;2.08;33.64;1;0
10746;Male;19.0;GA;58;408 718 12 94;None;0;165.4;100.0;28.12;115.7;87.0;9.83;193.8;118.0;8.72;12.8;5.0;3.46;50.13;2;0
10842;Female;;ID;106;510 920 37 48;None;0;274.4;120.0;46.65;198.6;82.0;16.88;160.8;62.0;7.24;6.0;3.0;1.62;72.39;1;0
10873;Male;;WV;107;415 147 34 41;None;0;123.1;100.0;20.93;158.4;82.0;13.46;256.1;82.0;11.52;9.3;5.0;2.51;48.42;0;0
10906;Male;44.0;MN;116;510 810 18 64;None;0;201.8;82.0;34.31;231.5;95.0;19.68;226.1;130.0;10.17;16.5;5.0;4.46;68.62;0;0
10945;Female;38.0;FL;104;415 363 87 54;None;0;76.4;116.0;12.99;115.6;74.0;9.83;226.3;94.0;10.18;9.4;3.0;2.54;35.54;3;0
10954;Male;42.0;NV;64;408 260 91 79;None;0;148.1;73.0;25.18;164.9;101.0;14.02;216.0;125.0;9.72;12.3;2.0;3.32;52.24;5;1
10991;Male;20.0;NY;116;510 118 15 63;None;0;89.5;128.0;15.22;180.8;137.0;15.37;193.1;94.0;8.69;14.0;3.0;3.78;43.06;2;0
11017;Male;40.0;AZ;140;408 520 32 17;None;0;149.8;134.0;25.47;164.4;98.0;13.97;294.7;124.0;13.26;8.1;2.0;2.19;54.89;1;0
11028;Male;35.0;GA;56;415 676 33 36;Voice mail;30;127.1;89.0;21.61;172.1;116.0;14.63;194.6;111.0;8.76;12.1;3.0;3.27;48.27;1;0
11067;Female;;WY;68;510 355 65 93;None;0;195.4;116.0;33.22;212.1;101.0;18.03;138.4;134.0;6.23;15.1;11.0;4.08;61.56;1;0
11162;Female;;MI;101;510 641 59 19;;0;190.7;72.0;32.42;208.6;103.0;17.73;203.8;111.0;9.17;8.8;8.0;2.38;61.7;1;0
11241;Female;39.0;UT;103;415 248 88 58;None;0;189.8;110.0;32.27;115.5;83.0;9.82;191.3;103.0;8.61;12.2;4.0;3.29;53.99;0;0
11345;Male;41.0;KS;36;510 827 58 94;None;0;178.6;83.0;30.36;213.1;103.0;18.11;198.0;119.0;8.91;10.9;5.0;2.94;60.32;1;0
11419;Male;40.0;KY;105;415 458 27 43;Voice mail;24;274.7;99.0;46.7;193.5;118.0;16.45;299.6;109.0;13.48;10.8;3.0;2.92;79.55;3;0
11466;Female;48.0;VA;95;415 804 68 20;None;0;197.0;88.0;33.49;190.4;68.0;16.18;211.9;104.0;9.54;16.1;8.0;4.35;63.56;0;0
11521;Female;35.0;MT;94;510 313 20 97;None;0;163.5;136.0;27.8;143.7;111.0;12.21;253.4;82.0;11.4;12.6;5.0;3.4;54.81;1;0
11643;Male;32.0;PA;96;510 396 75 37;None;0;179.5;125.0;30.52;162.3;139.0;13.8;264.5;133.0;11.9;6.6;2.0;1.78;58.0;1;0
11669;Female;36.0;NY;112;408 311 56 70;Voice mail;30;60.6;113.0;10.3;165.9;96.0;14.1;132.8;99.0;5.98;13.3;7.0;3.59;33.97;0;0
11736;Male;;DC;81;510 677 60 46;International;0;227.4;105.0;38.66;211.5;120.0;17.98;258.2;113.0;11.62;11.9;3.0;3.21;71.47;0;0
11749;Female;;WV;113;415 100 87 46;None;0;61.2;111.0;10.4;92.3;88.0;7.85;197.4;114.0;8.88;13.7;3.0;3.7;30.83;5;1
11829;Male;19.0;NM;67;415 579 56 57;None;0;215.5;102.0;36.64;190.7;95.0;16.21;214.5;106.0;9.65;8.6;6.0;2.32;64.82;1;0
11844;Male;26.0;MN;158;408 879 11 92;None;0;209.9;112.0;35.68;221.3;82.0;18.81;210.0;93.0;9.45;8.2;3.0;2.21;66.15;1;0
11848;Female;33.0;IL;68;415 220 69 10;International, Voice mail;29;195.5;113.0;33.24;171.6;96.0;14.59;204.0;85.0;9.18;13.5;9.0;3.65;60.66;1;1
11850;Male;53.0;NJ;85;415 229 93 84;;0;236.9;93.0;40.27;197.7;113.0;16.8;309.1;78.0;13.91;11.4;7.0;3.08;74.06;2;1
11878;Male;38.0;CO;86;415 305 57 10;None;0;217.8;93.0;37.03;214.7;95.0;18.25;228.7;70.0;10.29;11.3;7.0;3.05;68.62;0;0
11882;Female;29.0;UT;73;415 522 85 36;None;0;182.3;115.0;30.99;199.2;97.0;16.93;120.2;113.0;5.41;18.0;5.0;4.86;58.19;1;0
11888;Female;;LA;128;415 281 39 17;None;0;147.7;94.0;25.11;283.3;83.0;24.08;188.3;124.0;8.47;6.9;5.0;1.86;59.52;2;0
11936;Female;39.0;CA;185;408 617 96 32;None;0;139.6;92.0;23.73;250.2;115.0;21.27;158.1;79.0;7.11;10.8;4.0;2.92;55.03;1;0
11940;Female;47.0;IA;123;415 813 52 32;None;0;204.4;88.0;34.75;137.5;111.0;11.69;226.0;100.0;10.17;10.0;4.0;2.7;59.31;0;0
11942;Female;28.0;MT;80;510 251 50 12;International, Voice mail;30;184.2;132.0;31.31;167.5;109.0;14.24;212.8;114.0;9.58;10.0;10.0;2.7;57.83;0;0
11956;Male;;IN;101;415 143 81 96;Voice mail;42;209.2;82.0;35.56;159.7;74.0;13.57;181.6;100.0;8.17;9.5;3.0;2.57;59.87;0;0
